Date,Rice_Prices
2005-01-31,50.43
2005-02-28,55.09
2005-03-31,56.44
2005-04-30,54.59
2005-05-31,54.32
2005-06-30,56.76
2005-07-31,50.86
2005-08-31,46.54
2005-09-30,43.91
2005-10-31,47.67
2005-11-30,46.79
2005-12-31,46.8
2006-01-31,52.31
2006-02-28,53.86
2006-03-31,52.13
2006-04-30,57.38
2006-05-31,58.28
2006-06-30,58.98
2006-07-31,51.51
2006-08-31,49.49
2006-09-30,50.48
2006-10-31,47.02
2006-11-30,47.98
2006-12-31,48.08
2007-01-31,49.13
2007-02-28,56.33
2007-03-31,53.86
2007-04-30,59.44
2007-05-31,54.99
2007-06-30,55.35
2007-07-31,51.66
2007-08-31,52.33
2007-09-30,48.83
2007-10-31,51.56
2007-11-30,46.22
2007-12-31,51.13
2008-01-31,52.97
2008-02-29,56.02
2008-03-31,60.56
2008-04-30,59.29
2008-05-31,55.24
2008-06-30,56.85
2008-07-31,52.53
2008-08-31,49.99
2008-09-30,51.28
2008-10-31,47.4
2008-11-30,48.59
2008-12-31,51.32
2009-01-31,55.73
2009-02-28,57.58
2009-03-31,57.86
2009-04-30,58.54
2009-05-31,56.17
2009-06-30,55.22
2009-07-31,53.01
2009-08-31,51.6
2009-09-30,54.12
2009-10-31,48.21
2009-11-30,49.72
2009-12-31,48.12
2010-01-31,56.0
2010-02-28,54.23
2010-03-31,57.48
2010-04-30,62.12
2010-05-31,55.24
2010-06-30,57.89
2010-07-31,56.88
2010-08-31,55.91
2010-09-30,49.27
2010-10-31,49.27
2010-11-30,54.88
2010-12-31,53.13
2011-01-31,54.29
2011-02-28,56.91
2011-03-31,58.31
2011-04-30,60.12
2011-05-31,62.59
2011-06-30,60.44
2011-07-31,53.89
2011-08-31,54.25
2011-09-30,51.27
2011-10-31,53.04
2011-11-30,51.92
2011-12-31,54.88
2012-01-31,56.4
2012-02-29,54.93
2012-03-31,61.3
2012-04-30,59.42
2012-05-31,62.86
2012-06-30,58.26
2012-07-31,55.99
2012-08-31,54.76
2012-09-30,54.19
2012-10-31,52.1
2012-11-30,56.47
2012-12-31,58.4
2013-01-31,61.11
2013-02-28,59.79
2013-03-31,59.21
2013-04-30,65.36
2013-05-31,61.5
2013-06-30,60.66
2013-07-31,59.42
2013-08-31,52.53
2013-09-30,57.25
2013-10-31,55.15
2013-11-30,54.85
2013-12-31,57.84
2014-01-31,59.75
2014-02-28,61.45
2014-03-31,62.51
2014-04-30,62.4
2014-05-31,63.86
2014-06-30,62.26
2014-07-31,61.29
2014-08-31,57.1
2014-09-30,53.24
2014-10-31,51.21
2014-11-30,54.85
2014-12-31,56.97
2015-01-31,59.4
2015-02-28,59.12
2015-03-31,66.24
2015-04-30,66.99
2015-05-31,62.6
2015-06-30,64.11
2015-07-31,61.99
2015-08-31,57.74
2015-09-30,54.01
2015-10-31,58.55
2015-11-30,56.83
2015-12-31,57.48
2016-01-31,62.11
2016-02-29,66.38
2016-03-31,64.06
2016-04-30,67.18
2016-05-31,69.1
2016-06-30,61.23
2016-07-31,59.94
2016-08-31,57.42
2016-09-30,56.55
2016-10-31,55.86
2016-11-30,57.63
2016-12-31,57.3
2017-01-31,60.27
2017-02-28,64.7
2017-03-31,66.32
2017-04-30,68.51
2017-05-31,66.99
2017-06-30,65.96
2017-07-31,59.71
2017-08-31,58.81
2017-09-30,61.53
2017-10-31,58.02
2017-11-30,59.48
2017-12-31,60.45
2018-01-31,63.33
2018-02-28,64.6
2018-03-31,74.11
2018-04-30,66.93
2018-05-31,67.05
2018-06-30,60.53
2018-07-31,65.17
2018-08-31,59.44
2018-09-30,58.67
2018-10-31,57.14
2018-11-30,58.67
2018-12-31,60.29
2019-01-31,63.35
2019-02-28,65.91
2019-03-31,67.62
2019-04-30,68.34
2019-05-31,70.71
2019-06-30,68.1
2019-07-31,65.69
2019-08-31,60.04
2019-09-30,62.26
2019-10-31,61.42
2019-11-30,58.8
2019-12-31,64.87
2020-01-31,63.03
2020-02-29,63.3
2020-03-31,71.09
2020-04-30,69.4
2020-05-31,71.0
2020-06-30,65.79
2020-07-31,62.36
2020-08-31,64.92
2020-09-30,57.9
2020-10-31,57.0
2020-11-30,57.02
2020-12-31,57.19
2021-01-31,63.28
2021-02-28,63.6
2021-03-31,69.78
2021-04-30,66.13
2021-05-31,67.82
2021-06-30,72.92
2021-07-31,66.53
2021-08-31,63.53
2021-09-30,58.43
2021-10-31,60.59
2021-11-30,61.93
2021-12-31,60.53
2022-01-31,66.57
2022-02-28,71.28
2022-03-31,70.11
2022-04-30,71.17
2022-05-31,66.89
2022-06-30,66.42
2022-07-31,68.92
2022-08-31,63.06
2022-09-30,60.77
2022-10-31,60.65
2022-11-30,62.67
2022-12-31,62.38
2023-01-31,67.53
2023-02-28,67.14
2023-03-31,73.32
2023-04-30,70.41
2023-05-31,74.57
2023-06-30,70.16
2023-07-31,66.07
2023-08-31,67.16
2023-09-30,60.84
2023-10-31,61.91
2023-11-30,63.75
2023-12-31,65.42
2024-01-31,64.22
2024-02-29,68.98
2024-03-31,73.07
2024-04-30,70.84
2024-05-31,75.42
2024-06-30,72.13
2024-07-31,67.69
2024-08-31,65.86
2024-09-30,68.27
2024-10-31,65.83
2024-11-30,65.47
2024-12-31,63.79
2025-01-31,72.46
2025-02-28,73.88
2025-03-31,73.39
2025-04-30,73.34
2025-05-31,73.47
2025-06-30,69.7
2025-07-31,68.74
2025-08-31,68.79
2025-09-30,61.89
2025-10-31,64.29
2025-11-30,65.9
